,corr_with_target,abs_corr_with_target
abs_delta_structure_bbox_h,-0.28165949947099106,0.28165949947099106
front_structure_bbox_w,0.28075971667643285,0.28075971667643285
delta_edge_density,-0.2736107918835614,0.2736107918835614
abs_delta_edge_density,-0.2736107918835614,0.2736107918835614
top_std_g,0.2429845527499293,0.2429845527499293
top_structure_area_ratio,0.24261934548487132,0.24261934548487132
top_brightness_std,0.23663542163391404,0.23663542163391404
mean_fft_high_freq_ratio,0.2333617459607379,0.2333617459607379
top_std_b,0.23145174821087974,0.23145174821087974
top_checker_line_count,0.21739348854411905,0.21739348854411905
top_std_r,0.2153858441537037,0.2153858441537037
top_structure_bbox_h,0.2147168675325499,0.2147168675325499
top_saturation_mean,0.21230947961768298,0.21230947961768298
top_vp_intersections,0.2111213730371368,0.2111213730371368
abs_delta_checker_line_count,-0.2068611060407812,0.2068611060407812
mean_checker_line_count,0.20052298720746614,0.20052298720746614
top_hue_entropy,0.19825183663936036,0.19825183663936036
delta_checker_line_count,-0.1969020158595304,0.1969020158595304
delta_saturation_mean,-0.18626830666516736,0.18626830666516736
abs_delta_vp_intersections,-0.17138732342798696,0.17138732342798696
delta_vp_intersections,-0.16850465911392934,0.16850465911392934
first_move_thr2,0.16698062783637527,0.16698062783637527
mean_noise_residual_std,0.16580731183629188,0.16580731183629188
mean_vp_intersections,0.16264173479608346,0.16264173479608346
top_support_width_frac,0.15754237880762134,0.15754237880762134
abs_delta_structure_bbox_w,0.15602408843879467,0.15602408843879467
front_edge_density,-0.15428727540111684,0.15428727540111684
front_brightness_std,-0.15279768894606793,0.15279768894606793
collapse_margin_proxy,-0.14970229274190444,0.14970229274190444
front_std_g,-0.1483392513337229,0.1483392513337229
front_std_b,-0.14611674977965614,0.14611674977965614
front_structure_area_ratio,-0.14423917225645966,0.14423917225645966
top_saturation_std,0.14394364599006357,0.14394364599006357
front_std_r,-0.13660096623139467,0.13660096623139467
mean_laplacian_var,0.13430273083323044,0.13430273083323044
abs_delta_saturation_mean,-0.13305875452085403,0.13305875452085403
abs_delta_vp_x,0.12679876814674146,0.12679876814674146
top_support_height_frac,0.1204526617877483,0.1204526617877483
front_structure_bbox_h,-0.11875924213708601,0.11875924213708601
front_tilt,0.11411307186422266,0.11411307186422266
front_shadow_elongation,0.11068315389372833,0.11068315389372833
front_hue_entropy,-0.10660150427807183,0.10660150427807183
top_structure_center_x,0.09510173424047089,0.09510173424047089
front_saturation_std,-0.09357745536135866,0.09357745536135866
top_vp_x,0.093295657850859,0.093295657850859
delta_chessboard_nx,0.09210352615310367,0.09210352615310367
abs_delta_chessboard_nx,0.09210352615310367,0.09210352615310367
abs_delta_chessboard_ny,0.09210352615310367,0.09210352615310367
front_chessboard_ny,0.09210352615310367,0.09210352615310367
front_chessboard_nx,0.09210352615310367,0.09210352615310367
delta_chessboard_ny,0.09210352615310367,0.09210352615310367
mean_chessboard_ny,0.09210352615310366,0.09210352615310366
mean_chessboard_nx,0.09210352615310366,0.09210352615310366
mean_vp_spread,-0.09178870419296943,0.09178870419296943
abs_delta_chessboard_found,0.09165524592306674,0.09165524592306674
mean_chessboard_found,0.09165524592306674,0.09165524592306674
delta_chessboard_found,0.09165524592306674,0.09165524592306674
front_chessboard_found,0.09165524592306674,0.09165524592306674
mean_structure_center_x,0.08975058201463514,0.08975058201463514
delta_vp_x,-0.08950656845157497,0.08950656845157497
front_noise_residual_std,-0.08794081311490076,0.08794081311490076
mean_structure_bbox_h,0.0853573767248989,0.0853573767248989
abs_delta_vp_spread,0.0822227761506041,0.0822227761506041
mean_saturation_mean,0.07891305371483649,0.07891305371483649
front_shadow_area_ratio,0.0755063109369611,0.0755063109369611
front_vp_spread,-0.07391417341986108,0.07391417341986108
front_mean_b,0.06710130572878424,0.06710130572878424
mean_distortion_proxy,-0.06559619423553432,0.06559619423553432
top_mean_b,-0.0647383473429984,0.0647383473429984
front_structure_center_x,0.06400150021797561,0.06400150021797561
front_centroid_dx,0.06385610736255384,0.06385610736255384
front_brightness_mean,0.06349919245326303,0.06349919245326303
front_distortion_proxy,-0.06337130189779297,0.06337130189779297
delta_distortion_proxy,-0.06069952107054975,0.06069952107054975
abs_delta_distortion_proxy,-0.06069952107054975,0.06069952107054975
top_centroid_dx,0.05973744836336152,0.05973744836336152
top_mean_g,-0.05870338810892872,0.05870338810892872
top_area_frac,0.05762674443251411,0.05762674443251411
front_base_width_frac,-0.05495115508768388,0.05495115508768388
front_height_frac,-0.054444788665004185,0.054444788665004185
top_mean_r,-0.054281016947673795,0.054281016947673795
front_mean_g,0.05373127135735481,0.05373127135735481
top_brightness_mean,-0.05327726429073411,0.05327726429073411
top_vp_spread,-0.047986133952340256,0.047986133952340256
front_vp_x,-0.04634370973658272,0.04634370973658272
mean_hue_entropy,0.045914557797665685,0.045914557797665685
front_mean_r,0.044074146849059456,0.044074146849059456
front_top_heaviness,-0.04309516767615671,0.04309516767615671
mean_std_b,0.04294411432025061,0.04294411432025061
delta_structure_center_x,-0.04261563765799941,0.04261563765799941
delta_vp_y,0.04119806690739158,0.04119806690739158
delta_vp_pitch_proxy,0.0411980669073915,0.0411980669073915
front_width_frac,-0.03966405256538628,0.03966405256538628
top_vp_pitch_proxy,-0.03877767611074848,0.03877767611074848
top_vp_y,-0.038777676110748276,0.038777676110748276
delta_structure_center_y,0.038485499338264985,0.038485499338264985
front_fft_high_freq_ratio,-0.03780696617177975,0.03780696617177975
front_top_width_frac,-0.03753765195385689,0.03753765195385689
mean_brightness_std,0.03514249761344433,0.03514249761344433
front_laplacian_var,-0.032917051308394646,0.032917051308394646
